,Jahr,Anzahl_Worte,Verkehrswende,Digital,Nachhaltig,Ökologie,Energie,Klima,Reform,Obsoleszenz,Verspätung,Wettbewerb
0,1998,28922,4,1,6,9,38,0,29,18,14,30
1,1999,33883,2,2,5,37,35,1,18,22,5,32
2,2000,37469,2,3,8,41,54,8,28,51,4,53
3,2001,38688,1,6,7,42,67,16,22,75,1,50
4,2002,67287,6,4,23,49,101,16,27,95,3,93
5,2003,67830,6,4,18,41,105,24,46,106,11,92
6,2004,84650,9,6,25,52,138,17,34,88,13,105
7,2005,82478,3,1,20,56,139,16,15,60,5,120
8,2006,66966,4,1,17,42,133,15,9,55,5,70
9,2007,90083,3,1,36,50,167,15,9,59,6,91
10,2008,87897,3,1,43,47,193,37,11,81,9,85
11,2009,102424,8,1,58,76,227,30,14,84,6,97
12,2010,117598,4,1,49,69,255,23,10,85,7,79
13,2011,134571,8,3,90,118,531,38,19,83,21,105
14,2012,154488,4,2,92,282,406,33,29,91,31,121
15,2013,164070,8,6,77,197,503,30,26,146,51,139
16,2014,166342,7,61,131,261,656,66,27,168,68,129
17,2015,171343,12,111,118,203,554,71,22,159,90,170
18,2016,158827,10,151,137,211,635,106,18,181,76,138
19,2017,156714,12,295,135,256,596,156,27,238,109,110
20,2018,158535,15,257,131,219,612,146,24,215,121,88
21,2019,155573,36,234,401,212,585,174,20,183,76,87
22,2020,166766,34,249,452,203,602,189,13,173,90,66
